taxonomy_degree	taxonomy	tax_study
family	Actinosynnemataceae	root:Host-associated:1
family	Adinetidae	root:Engineered:1|root:Environmental:2
family	Aequoreidae	root:Environmental:1
family	Aerococcaceae	root:Engineered:19|root:Environmental:4|root:Host-associated:15
family	Aeromonadaceae	root:Engineered:31|root:Environmental:31|root:Host-associated:19|root:Mixed:1
family	Agaraceae	root:Environmental:1
family	Agaricaceae	root:Engineered:1
family	Agelasidae	root:Environmental:1
family	Akkermansiaceae	root:Environmental:5|root:Host-associated:62
family	Alabaminidae	root:Environmental:1
family	Alaimidae	root:Environmental:1
family	Alcaligenaceae	root:Engineered:30|root:Environmental:51|root:Host-associated:53
family	Alcanivoracaceae	root:Engineered:1|root:Environmental:94|root:Host-associated:2
family	Algiphilaceae	root:Environmental:2
family	Alicyclobacillaceae	root:Engineered:2|root:Environmental:17|root:Host-associated:6|root:Mixed:1
family	Alismataceae	root:Environmental:1
family	Allocreadiidae	root:Environmental:1
family	Alteromonadaceae	root:Engineered:17|root:Environmental:354|root:Host-associated:24|root:Mixed:1|root:NA:1
family	Alvinellidae	root:Environmental:2
family	Amanitaceae	root:Environmental:1|root:Host-associated:1
family	Amaryllidaceae	root:Host-associated:1
family	Aminiphilaceae	root:Engineered:1
family	Amoebophilaceae	root:Environmental:2|root:Host-associated:3
family	Amoebophryaceae	root:Environmental:67
family	Ampharetidae	root:Environmental:2
family	Amphidiniopsidaceae	root:Environmental:2
family	Amphidomataceae	root:Environmental:2
family	Amphitraemidae	root:Environmental:1
